,country,alpha3,year,continent,All categories,Biological,Earthquake,Flood,Hurricane & Tornado,Industrial,Meteor,Societal,Transportation,Wildfire
378,The Bahamas,BHS,2012,North America,1.0,,,,1.0,,,,,
379,The Bahamas,BHS,2017,North America,8.0,,,,8.0,,,,,
380,Tonga,TON,2013,Oceania,2.0,,2.0,,,,,,,
381,Trinidad and Tobago,TTO,2013,North America,2.0,,,,1.0,,,,1.0,
382,Trinidad and Tobago,TTO,2017,North America,1.0,,,,1.0,,,,,
383,Tunisia,TUN,2015,Africa,1.0,,,,1.0,,,,,
384,Turks and Caicos Islands,TCA,2017,North America,7.0,,,,7.0,,,,,
385,Türkiye,TUR,2012,Asia,1.0,,,,1.0,,,,,
386,Türkiye,TUR,2013,Asia,12.0,,2.0,2.0,2.0,,,5.0,,1.0
387,Türkiye,TUR,2014,Asia,4.0,1.0,1.0,1.0,1.0,,,,,
388,Türkiye,TUR,2017,Asia,6.0,,1.0,1.0,4.0,,,,,
389,Uganda,UGA,2012,Africa,1.0,,,,1.0,,,,,
390,Uganda,UGA,2013,Africa,2.0,,,,,1.0,,1.0,,
391,Uganda,UGA,2014,Africa,6.0,5.0,1.0,,,,,,,
392,Ukraine,UKR,2013,Europe,1.0,,,,1.0,,,,,
393,Ukraine,UKR,2014,Europe,1.0,,,1.0,,,,,,
394,Ukraine,UKR,2017,Europe,1.0,,,,1.0,,,,,
395,United Arab Emirates,ARE,2012,Asia,2.0,,,1.0,1.0,,,,,
396,United Arab Emirates,ARE,2013,Asia,3.0,,2.0,,,,,,1.0,
397,United Arab Emirates,ARE,2014,Asia,14.0,14.0,,,,,,,,
398,United Arab Emirates,ARE,2015,Asia,4.0,,3.0,,1.0,,,,,
399,United Arab Emirates,ARE,2017,Asia,1.0,,,,1.0,,,,,
400,United Arab Emirates,ARE,2018,Asia,5.0,,5.0,,,,,,,
401,United Kingdom,GBR,2011,Europe,6.0,,,,5.0,1.0,,,,
402,United Kingdom,GBR,2012,Europe,33.0,,1.0,7.0,22.0,,,,,3.0
403,United Kingdom,GBR,2013,Europe,750.0,,13.0,40.0,9.0,11.0,3.0,137.0,523.0,14.0
404,United Kingdom,GBR,2014,Europe,33.0,13.0,,17.0,3.0,,,,,
405,United Kingdom,GBR,2015,Europe,23.0,,19.0,,4.0,,,,,
406,United Kingdom,GBR,2017,Europe,71.0,,4.0,10.0,53.0,,,1.0,3.0,
407,United Kingdom,GBR,2018,Europe,29.0,,29.0,,,,,,,
408,United States,USA,2011,North America,612.0,,1.0,,606.0,4.0,,1.0,,
409,United States,USA,2012,North America,1767.0,,31.0,39.0,1040.0,12.0,,51.0,5.0,589.0
410,United States,USA,2013,North America,10385.0,2.0,1228.0,639.0,2478.0,2898.0,15.0,2558.0,536.0,31.0
411,United States,USA,2014,North America,1733.0,446.0,11.0,24.0,105.0,12.0,3.0,7.0,3.0,1122.0
412,United States,USA,2015,North America,108.0,,49.0,5.0,52.0,1.0,,1.0,,
413,United States,USA,2017,North America,3985.0,3.0,52.0,33.0,3846.0,10.0,6.0,16.0,6.0,13.0
414,United States,USA,2018,North America,68.0,,66.0,1.0,1.0,,,,,
415,Uruguay,URY,2014,South America,1.0,,,,1.0,,,,,
416,Vanuatu,VUT,2012,Oceania,1.0,,1.0,,,,,,,
417,Vanuatu,VUT,2015,Oceania,842.0,,5.0,6.0,830.0,,1.0,,,
418,Vatican City,,2015,,1.0,,1.0,,,,,,,
419,Venezuela,VEN,2012,South America,48.0,,2.0,,2.0,43.0,,,,1.0
420,Venezuela,VEN,2013,South America,9.0,,9.0,,,,,,,
421,Venezuela,VEN,2014,South America,1.0,,,,1.0,,,,,
422,Venezuela,VEN,2015,South America,2.0,,2.0,,,,,,,
423,Venezuela,VEN,2017,South America,1.0,,,,1.0,,,,,
424,Venezuela,VEN,2018,South America,3.0,,3.0,,,,,,,
425,Vietnam,VNM,2012,Asia,3.0,,1.0,,2.0,,,,,
426,Vietnam,VNM,2013,Asia,6.0,,,,3.0,,,3.0,,
427,Vietnam,VNM,2014,Asia,6.0,,,,6.0,,,,,
428,Yemen,YEM,2013,Asia,1.0,,1.0,,,,,,,
429,Yemen,YEM,2015,Asia,1.0,,,,1.0,,,,,
